"pressure_tap_angle_deg","cylinder_manometer_pa","airspeed_manometer_pa","measured_drag_n"
0,297.2,274.68,4.3
10,283.5,259.965,4.22
20,203,259.965,4.33
30,69.5,259.965,4.22
40,-101.4,255.06,4.1
50,-283,255.06,4.15
60,-443.5,255.06,4.22
70,-583.4,255.06,4.16
80,-633.5,255.06,4.18
90,-584.6,255.06,4.23
100,-561,255.06,4.35
110,-375.7,259.965,4.37
120,-309.1,259.965,4.27
130,-269.6,259.965,4.31
140,-255.8,259.965,4.29
150,-253.3,259.965,4.32
160,-267.4,259.965,4.43
170,-235.8,259.965,4.45
180,-233.5,259.965,4.37
